epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,9983.43,1.83908,3.28963,0.33967,1.58215,0.00928,4.94169,0.65203,0.50786,0.54611,0.25553,0.63342,0.46943,0.47816,0.28047,1.95896,3.83885,0.30499,1.72535,0.00995,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10116.3,1.85302,3.29607,0.34025,1.57037,0.00943,4.89572,0.65875,0.50568,0.55026,0.25577,0.62751,0.47162,0.47808,0.28022,1.96251,3.85187,0.30488,1.72079,0.00995,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10249.1,1.83304,3.2732,0.33908,1.54422,0.00929,4.87135,0.65979,0.51266,0.55362,0.25694,0.63879,0.47293,0.48212,0.28176,1.96536,3.85563,0.30513,1.71863,0.00994,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10381.8,1.83704,3.24212,0.33823,1.54867,0.00926,4.80843,0.64904,0.51443,0.55286,0.25676,0.63492,0.47948,0.48358,0.28379,1.9668,3.85465,0.30502,1.71695,0.00993,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10514.7,1.83207,3.20622,0.33724,1.5351,0.00928,4.75864,0.63818,0.52183,0.55397,0.25659,0.63325,0.47729,0.48269,0.28538,1.96598,3.854,0.30549,1.71628,0.00994,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10647.4,1.8227,3.18813,0.33757,1.54178,0.00926,4.75132,0.64487,0.52009,0.55425,0.25694,0.6319,0.47511,0.48361,0.28615,1.96738,3.84762,0.30526,1.71215,0.00992,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10779.9,1.81349,3.16907,0.33836,1.54696,0.00907,4.64995,0.65207,0.51834,0.55508,0.25807,0.63158,0.47642,0.48386,0.28742,1.96477,3.82857,0.30501,1.71456,0.00989,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10911.9,1.81259,3.1356,0.3417,1.5206,0.00915,4.54939,0.64324,0.5228,0.55611,0.25926,0.6304,0.47295,0.48488,0.28831,1.96722,3.82606,0.30504,1.71044,0.00991,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11044.7,1.81318,3.1391,0.33726,1.51924,0.00912,4.6037,0.64191,0.5214,0.55692,0.25976,0.6326,0.47642,0.48732,0.29024,1.96316,3.82748,0.3058,1.71117,0.00987,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11177.1,1.7984,3.09694,0.33311,1.49979,0.00901,4.53426,0.6485,0.52368,0.55627,0.25964,0.62872,0.47918,0.48813,0.2902,1.95982,3.80894,0.30612,1.71416,0.00983,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
