epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,14255,1.72422,2.67979,0.32149,1.36968,0.00852,3.91947,0.68438,0.53799,0.58714,0.28672,0.67147,0.52052,0.54026,0.33879,1.91011,3.40382,0.29899,1.61708,0.0095,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14434.5,1.71239,2.70785,0.32179,1.36372,0.00856,3.99669,0.68255,0.53987,0.58778,0.28703,0.67266,0.52751,0.54291,0.33911,1.91334,3.38574,0.29774,1.61448,0.00956,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14614.5,1.71167,2.67455,0.32269,1.36383,0.0084,3.85703,0.68282,0.54242,0.58903,0.28698,0.68101,0.52402,0.54272,0.33962,1.91443,3.39515,0.2978,1.61346,0.00954,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14794.4,1.69733,2.63814,0.32518,1.35101,0.00838,3.7906,0.68157,0.53843,0.58992,0.28668,0.67804,0.52271,0.54124,0.33921,1.91473,3.39679,0.29824,1.61548,0.00954,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14974.6,1.69499,2.62449,0.32242,1.35373,0.00837,3.78961,0.67989,0.53794,0.58974,0.28665,0.67302,0.52183,0.54115,0.33842,1.91811,3.3966,0.2983,1.60886,0.00959,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15154.7,1.69576,2.59819,0.31788,1.31983,0.00831,3.7774,0.67898,0.54031,0.59118,0.28765,0.68506,0.51834,0.54222,0.33938,1.91282,3.39827,0.29828,1.61118,0.0095,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15334.6,1.69667,2.573,0.31776,1.32462,0.00826,3.69694,0.6845,0.54148,0.59027,0.28867,0.68351,0.5214,0.54154,0.33873,1.9112,3.38876,0.29815,1.61012,0.00948,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15514.5,1.68782,2.57508,0.31878,1.32704,0.00826,3.68772,0.68572,0.54214,0.59234,0.28927,0.68767,0.5179,0.54089,0.33864,1.91659,3.38912,0.29819,1.60316,0.00958,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15694.3,1.67098,2.51576,0.31755,1.32087,0.00812,3.57149,0.68506,0.54148,0.5926,0.28996,0.68399,0.52227,0.54156,0.33909,1.91856,3.39805,0.29866,1.59787,0.0096,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15873.7,1.68207,2.52755,0.31814,1.31521,0.00815,3.56029,0.69322,0.53843,0.59385,0.29072,0.68173,0.51965,0.54193,0.33983,1.91978,3.40436,0.29875,1.59438,0.00962,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
